Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
Certain Religious Workers,U,U,U,U,U,C,C,C,4/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/09,5th
Targeted Employment Areas,C,C,C,C,C,C,C,C,4/1/09,5th Targeted Employment Areas
5th Pilot Progams,U,U,U,U,U,C,C,C,4/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/09,1st
2nd,C,2/15/04,C,C,2/15/05,C,C,C,5/1/09,2nd
3rd,U,U,U,U,U,C,C,C,5/1/09,3rd
Other Workers,U,U,U,U,U,C,C,C,5/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,5/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/09,1st
2nd,C,1/1/00,C,C,2/15/05,C,C,C,6/1/09,2nd
3rd,U,U,U,U,U,C,C,C,6/1/09,3rd
Other Workers,U,U,U,U,U,C,C,C,6/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,6/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/09,1st
2nd,C,1/1/00,C,C,1/1/00,C,C,C,7/1/09,2nd
3rd,U,U,U,U,U,C,C,C,7/1/09,3rd
Other Workers,U,U,U,U,U,C,C,C,7/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,7/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/09,1st
2nd,C,10/1/03,C,C,10/1/03,C,C,C,8/1/09,2nd
3rd,U,U,U,U,U,C,C,C,8/1/09,3rd
Other Workers,U,U,U,U,U,C,C,C,8/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,8/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/09,1st
2nd,C,1/8/05,C,C,1/8/05,C,C,C,9/1/09,2nd
3rd,U,U,U,U,U,C,C,C,9/1/09,3rd
Other Worker,U,U,U,U,U,C,C,C,9/1/09,Other Workers
4th,U,U,U,U,U,C,C,C,9/1/09,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,9/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,9/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/09,1st
2nd,C,1/22/05,C,C,3/22/05,C,C,C,10/1/09,2nd
3rd,6/1/02,4/15/01,5/1/02,6/1/02,2/22/02,C,C,C,10/1/09,3rd
Other Workers,6/1/01,4/15/01,6/1/01,6/1/01,6/1/01,C,C,C,10/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/09,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,10/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,10/1/09,5th Targeted Employment Areas
5th Pilot Programs,U,U,U,U,U,C,C,C,10/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/09,1st
2nd,C,1/22/05,C,C,4/1/05,C,C,C,11/1/09,2nd
3rd,6/1/02,4/22/01,6/1/02,6/1/02,6/1/02,C,C,C,11/1/09,3rd
Other Workers,6/1/01,4/22/01,6/1/01,6/1/01,6/1/01,C,C,C,11/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/09,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,11/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,11/1/09,5th Targeted Employment Areas
5th Pilot Programs,U,U,U,U,U,C,C,C,11/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/09,1st
2nd,C,1/22/05,C,C,4/1/05,C,C,C,12/1/09,2nd
3rd,6/1/02,5/1/01,6/1/02,6/1/02,6/1/02,C,C,C,12/1/09,3rd
Other Workers,6/1/01,5/1/01,6/1/01,6/1/01,6/1/01,C,C,C,12/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,12/1/09,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,12/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/10,1st
2nd,C,1/22/05,C,C,5/1/05,C,C,C,1/1/10,2nd
3rd,8/1/02,6/22/01,7/1/02,8/1/02,8/1/02,C,C,C,1/1/10,3rd
Other Workers,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,C,C,C,1/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,1/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,1/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/10,1st
2nd,C,1/22/05,C,C,5/22/05,C,C,C,2/1/10,2nd
3rd,9/22/02,6/22/01,7/1/02,9/22/02,9/22/02,C,C,C,2/1/10,3rd
Other Workers,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,C,C,C,2/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,2/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/10,1st
2nd,C,2/1/05,C,C,7/8/05,C,C,C,3/1/10,2nd
3rd,12/15/02,7/1/01,7/1/02,12/15/02,12/15/02,C,C,C,3/1/10,3rd
Other Workers,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,C,C,C,3/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,3/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,3/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/10,1st
2nd,C,2/1/05,C,C,8/22/05,C,C,C,4/1/10,2nd
3rd,2/1/03,9/8/01,7/1/02,2/1/03,2/1/03,C,C,C,4/1/10,3rd
Other Workers,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,C,C,C,4/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,4/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,4/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/10,1st
2nd,C,2/1/05,C,C,9/22/05,C,C,C,5/1/10,2nd
3rd,4/22/03,10/1/01,U,4/22/03,4/22/03,C,C,C,5/1/10,3rd
Other Workers,6/1/01,6/1/01,U,6/1/01,6/1/01,C,C,C,5/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,5/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,5/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/10,1st
2nd,C,2/1/05,C,C,11/22/05,C,C,C,6/1/10,2nd
3rd,6/22/03,10/22/01,U,6/22/03,6/22/03,6/22/03,C,C,6/1/10,3rd
Other Workers,6/1/01,6/1/01,U,6/1/01,6/1/01,6/1/01,C,C,6/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,6/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,6/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/10,1st
2nd,C,10/1/05,C,C,11/22/05,C,C,C,7/1/10,2nd
3rd,8/15/03,11/22/01,U,8/15/03,8/15/03,8/15/03,C,C,7/1/10,3rd
Other Workers,6/1/01,6/1/01,U,6/1/01,6/1/01,6/1/01,C,C,7/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,7/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,7/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/10,1st
2nd,C,3/1/06,C,C,3/1/06,C,C,C,8/1/10,2nd
3rd,6/1/04,1/1/02,U,6/1/04,9/22/03,6/1/04,C,C,8/1/10,3rd
Other Workers,5/15/02,1/1/02,U,5/15/02,5/15/02,5/15/02,C,C,8/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,8/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,8/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/10,1st
2nd,C,5/8/06,C,C,5/8/06,C,C,C,9/1/10,2nd
3rd,12/15/04,1/1/02,U,12/15/04,10/22/03,12/15/04,C,C,9/1/10,3rd
Other Workers,3/22/03,1/1/02,U,3/22/03,3/22/03,3/22/03,C,C,9/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,9/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,9/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/10,1st
2nd,C,5/8/06,C,C,5/22/06,C,C,C,10/1/10,2nd
3rd,1/8/05,1/15/02,4/22/01,1/8/05,11/8/03,C,C,C,10/1/10,3rd
Other Workers,3/22/03,1/15/02,4/22/01,3/22/03,3/22/03,C,C,C,10/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,10/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,10/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/10,1st
2nd,C,5/8/06,C,C,6/1/06,C,C,C,11/1/10,2nd
3rd,1/22/05,1/22/02,5/1/01,1/22/05,11/22/03,C,C,C,11/1/10,3rd
Other Workers,4/1/03,1/22/02,5/1/01,4/1/03,4/1/03,C,C,C,11/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,11/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,11/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/10,1st
2nd,C,5/8/06,C,C,6/8/06,C,C,C,12/1/10,2nd
3rd,2/22/05,1/22/02,7/1/02,2/22/05,12/8/03,2/22/05,C,C,12/1/10,3rd
Other Workers,4/22/03,1/22/02,7/1/02,4/22/03,4/22/03,4/22/03,C,C,12/1/10,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/10,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/10,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/10,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,12/1/10,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,12/1/10,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/11,1st
2nd,C,5/8/06,C,C,6/22/06,C,C,C,1/1/11,2nd
3rd,3/22/05,2/1/02,4/15/03,3/22/05,12/15/03,3/22/05,C,C,1/1/11,3rd
Other Workers,4/22/03,2/1/02,4/15/03,4/22/03,4/22/03,4/22/03,C,C,1/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/11,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/11,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,1/1/11,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,1/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/11,1st
2nd,C,5/8/06,C,C,7/1/06,C,C,C,2/1/11,2nd
3rd,4/1/05,2/22/02,7/8/03,4/1/05,1/1/04,4/1/05,C,C,2/1/11,3rd
Other Workers,5/1/03,2/22/02,5/1/03,5/1/03,4/22/03,5/1/03,C,C,2/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/11,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/11,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2/1/11,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,2/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/11,1st
2nd,C,5/8/06,C,C,7/8/06,C,C,C,3/1/11,2nd
3rd,7/1/05,3/15/02,1/8/04,7/1/05,1/22/04,7/1/05,C,C,3/1/11,3rd
Other Workers,6/15/03,3/15/02,5/1/03,6/15/03,4/22/03,6/15/03,C,C,3/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/11,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/11,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,3/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/11,1st
2nd,C,5/8/06,C,C,7/22/06,C,C,C,4/1/11,2nd
3rd,7/22/05,4/8/02,5/8/04,7/22/05,3/1/04,C,C,C,4/1/11,3rd
Other Workers,7/22/03,4/8/02,7/22/03,7/22/03,4/22/03,C,C,C,4/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/11,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/11,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,4/1/11,5th Targeted Employment Areas
5th Pilot Programs,C,C,C,C,C,C,C,C,4/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/11,1st
2nd,C,7/1/06,C,C,8/1/06,C,C,C,5/1/11,2nd
3rd,8/22/05,4/15/02,9/8/04,8/22/05,4/15/04,C,C,C,5/1/11,3rd
Other Workers,9/8/03,4/15/02,9/8/03,9/8/03,4/22/03,C,C,C,5/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/11,Certain Religious Workers
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,5/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/11,1st
2nd,C,10/15/06,C,C,10/15/06,C,C,C,6/1/11,2nd
3rd,9/15/05,4/22/02,12/22/04,9/15/05,5/15/04,C,C,C,6/1/11,3rd
Other Workers,11/8/03,4/22/02,11/8/03,11/8/03,4/22/03,C,C,C,6/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/11,Certain Religious Workers
5th  Targeted Employment Areas/  Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,6/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/11,1st
2nd,C,3/8/07,C,C,3/8/07,C,C,C,7/1/11,2nd
3rd,10/8/05,5/1/02,7/1/05,10/8/05,7/1/04,C,C,C,7/1/11,3rd
Other Workers,11/22/04,5/1/02,11/22/04,11/22/04,4/22/03,C,C,C,7/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/11,Certain Religious Workers
5th  Targeted  Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,7/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/11,1st
2nd,C,4/15/07,C,C,4/15/07,C,C,C,8/1/11,2nd
3rd,11/1/05,6/1/02,11/1/05,11/1/05,7/8/04,C,C,C,8/1/11,3rd
Other Workers,5/1/05,6/1/02,5/1/05,5/1/05,4/22/03,C,C,C,8/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/11,Certain Religious Workers
5th  Targeted  Employment Areas/  Regional Centers and  Pilot Programs,C,C,C,C,C,C,C,C,8/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/11,1st
2nd,C,4/15/07,C,C,4/15/07,C,C,C,9/1/11,2nd
3rd,11/22/05,7/8/02,11/22/05,11/22/05,7/15/04,C,C,C,9/1/11,3rd
Other Workers,8/1/05,6/1/02,8/1/05,8/1/05,4/22/03,C,C,C,9/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/11,Certain Religious Workers
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,9/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/11,1st
2nd,C,7/15/07,C,C,7/15/07,C,C,C,10/1/11,2nd
3rd,12/8/05,7/15/02,12/8/05,12/8/05,8/8/04,C,C,C,10/1/11,3rd
Other Workers*,9/15/05,6/8/02,9/15/05,9/15/05,4/22/03,C,C,C,10/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/11,Certain Religious Workers
5th Targeted Employment Areas/Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,10/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/11,1st
2nd,C,11/1/07,C,C,11/1/07,C,C,C,11/1/11,2nd
3rd,12/22/05,7/22/02,12/22/05,12/22/05,8/22/04,C,C,C,11/1/11,3rd
Other Workers*,11/15/05,6/15/02,11/15/05,11/15/05,4/22/03,C,C,C,11/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/11,Certain Religious Workers
5th  Targeted  Employment Areas/  Regional Centers  and Pilot Programs,C,C,C,C,C,C,C,C,11/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/11,1st
2nd,C,3/15/08,C,C,3/15/08,C,C,C,12/1/11,2nd
3rd,1/15/06,8/1/02,1/15/06,1/15/06,9/8/04,C,C,C,12/1/11,3rd
Other Workers,1/1/06,7/22/02,1/1/06,1/1/06,4/22/03,C,C,C,12/1/11,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/11,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/11,Certain Religious Workers
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,12/1/11,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/12,1st
2nd,C,1/1/09,C,C,1/1/09,C,C,C,1/1/12,2nd
3rd,2/1/06,8/8/02,2/1/06,2/1/06,10/15/04,C,C,C,1/1/12,3rd
Other Workers,2/1/06,8/1/02,2/1/06,2/1/06,4/22/03,C,C,C,1/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/12,Certain Religious Workers
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,1/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/12,1st
2nd,C,1/1/10,C,C,1/1/10,C,C,C,2/1/12,2nd
3rd,2/22/06,8/15/02,2/22/06,2/22/06,12/1/04,C,C,C,2/1/12,3rd
Other Workers,2/22/06,8/15/02,2/22/06,2/22/06,4/22/03,C,C,C,2/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/12,Certain Religious Workers
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/12,1st
2nd,C,5/1/10,C,C,5/1/10,C,C,C,3/1/12,2nd
3rd,3/15/06,8/22/02,3/15/06,3/15/06,1/1/05,C,C,C,3/1/12,3rd
Other Workers,3/15/06,8/22/02,3/15/06,3/15/06,4/22/03,C,C,C,3/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/12,Certain Religious Workers
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,3/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/12,1st
2nd,C,5/1/10,C,C,5/1/10,C,C,C,4/1/12,2nd
3rd,4/8/06,9/1/02,4/8/06,4/8/06,3/1/05,C,C,C,4/1/12,3rd
Other Workers,4/8/06,9/1/02,4/8/06,4/8/06,4/22/03,C,C,C,4/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,4/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/12,1st
2nd,C,8/15/07,C,C,8/15/07,C,C,C,5/1/12,2nd
3rd,5/1/06,9/8/02,5/1/06,5/1/06,4/1/05,C,C,C,5/1/12,3rd
Other Workers,5/1/06,9/8/02,5/1/06,5/1/06,4/22/03,C,C,C,5/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,5/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/12,1st
2nd,C,U,C,C,U,C,C,C,6/1/12,2nd
3rd,6/8/06,9/15/02,6/8/06,5/22/06,8/8/05,C,C,C,6/1/12,3rd
Other Workers,6/8/06,9/15/02,6/8/06,5/22/06,4/22/03,C,C,C,6/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,6/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/12,1st
2nd,1/1/09,U,1/1/09,1/1/09,U,C,C,C,7/1/12,2nd
3rd,7/22/06,9/22/02,7/22/06,6/8/06,9/22/05,C,C,C,7/1/12,3rd
Other Workers,7/22/06,9/22/02,7/22/06,6/8/06,6/15/03,C,C,C,7/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,7/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/12,1st
2nd,1/1/09,U,1/1/09,1/1/09,U,C,C,C,8/1/12,2nd
3rd,9/8/06,10/1/02,9/8/06,6/15/06,11/8/05,C,C,C,8/1/12,3rd
Other Workers,9/8/06,10/1/02,9/8/06,6/8/06,6/15/03,C,C,C,8/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,8/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/12,1st
2nd,1/1/09,U,1/1/09,1/1/09,U,C,C,C,9/1/12,2nd
3rd,10/1/06,10/8/02,10/1/06,8/1/06,12/15/05,C,C,C,9/1/12,3rd
Other Workers,10/1/06,10/8/02,10/1/06,8/1/06,6/22/03,C,C,C,9/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,9/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/12,1st
2nd,1/1/12,9/1/04,1/1/12,1/1/12,7/15/07,C,C,C,10/1/12,2nd
3rd,10/22/06,10/15/02,10/22/06,8/1/06,2/8/06,C,C,C,10/1/12,3rd
