Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,Preference
Other Workers,2003-03-15,2001-10-15,2001-10-15,2003-03-15,2002-10-01,2003-03-15,2003-03-15,2003-03-15,2009-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-02-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-02-01,E5
1st,C,C,C,C,C,C,C,C,2009-03-01,E1
2nd,C,2004-02-15,C,C,2005-02-15,C,C,C,2009-03-01,E2
3rd,2005-05-01,2001-10-15,2003-08-15,2005-05-01,2002-10-22,2005-05-01,2005-05-01,2005-05-01,2009-03-01,E3
Other Workers,2003-03-15,2001-10-15,2003-03-15,2003-03-15,2002-10-22,2003-03-15,2003-03-15,2003-03-15,2009-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-03-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-03-01,E5
1st,C,C,C,C,C,C,C,C,2009-04-01,E1
2nd,C,2004-02-15,C,C,2005-02-15,C,C,C,2009-04-01,E2
3rd,2003-03-01,2001-11-01,2003-03-01,2003-03-01,2003-03-01,2003-03-01,2003-03-01,2003-03-01,2009-04-01,E3
Other Workers,2001-03-01,2001-03-01,2001-03-01,2001-03-01,2001-03-01,2001-03-01,2001-03-01,2001-03-01,2009-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-04-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2009-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-04-01,E5
Targeted Employment Areas,C,C,C,C,C,C,C,C,2009-04-01,E5
5th Pilot Progams,U,U,U,U,U,U,U,U,2009-04-01,E5
1st,C,C,C,C,C,C,C,C,2009-05-01,E1
2nd,C,2004-02-15,C,C,2005-02-15,C,C,C,2009-05-01,E2
3rd,U,U,U,U,U,U,U,U,2009-05-01,E3
Other Workers,U,U,U,U,U,U,U,U,2009-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-05-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-05-01,E5
1st,C,C,C,C,C,C,C,C,2009-06-01,E1
2nd,C,2000-01-01,C,C,2005-02-15,C,C,C,2009-06-01,E2
3rd,U,U,U,U,U,U,U,U,2009-06-01,E3
Other Workers,U,U,U,U,U,U,U,U,2009-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-06-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-06-01,E5
1st,C,C,C,C,C,C,C,C,2009-07-01,E1
2nd,C,2000-01-01,C,C,2000-01-01,C,C,C,2009-07-01,E2
3rd,U,U,U,U,U,U,U,U,2009-07-01,E3
Other Workers,U,U,U,U,U,U,U,U,2009-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-07-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-07-01,E5
1st,C,C,C,C,C,C,C,C,2009-08-01,E1
2nd,C,2003-10-01,C,C,2003-10-01,C,C,C,2009-08-01,E2
3rd,U,U,U,U,U,U,U,U,2009-08-01,E3
Other Workers,U,U,U,U,U,U,U,U,2009-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-08-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-08-01,E5
1st,C,C,C,C,C,C,C,C,2009-09-01,E1
2nd,C,2005-01-08,C,C,2005-01-08,C,C,C,2009-09-01,E2
3rd,U,U,U,U,U,U,U,U,2009-09-01,E3
Other Worker,U,U,U,U,U,U,U,U,2009-09-01,E3_U
4th,U,U,U,U,U,U,U,U,2009-09-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2009-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-09-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-09-01,E5
1st,C,C,C,C,C,C,C,C,2009-10-01,E1
2nd,C,2005-01-22,C,C,2005-03-22,C,C,C,2009-10-01,E2
3rd,2002-06-01,2001-04-15,2002-05-01,2002-06-01,2002-02-22,2002-06-01,2002-06-01,2002-06-01,2009-10-01,E3
Other Workers,2001-06-01,2001-04-15,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2009-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-10-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2009-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-10-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-10-01,E5
5th Pilot Programs,U,U,U,U,U,U,U,U,2009-10-01,E5
1st,C,C,C,C,C,C,C,C,2009-11-01,E1
2nd,C,2005-01-22,C,C,2005-04-01,C,C,C,2009-11-01,E2
3rd,2002-06-01,2001-04-22,2002-06-01,2002-06-01,2002-06-01,2002-06-01,2002-06-01,2002-06-01,2009-11-01,E3
Other Workers,2001-06-01,2001-04-22,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2009-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-11-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2009-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-11-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-11-01,E5
5th Pilot Programs,U,U,U,U,U,U,U,U,2009-11-01,E5
1st,C,C,C,C,C,C,C,C,2009-12-01,E1
2nd,C,2005-01-22,C,C,2005-04-01,C,C,C,2009-12-01,E2
3rd,2002-06-01,2001-05-01,2002-06-01,2002-06-01,2002-06-01,2002-06-01,2002-06-01,2002-06-01,2009-12-01,E3
Other Workers,2001-06-01,2001-05-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2009-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-12-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-12-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2009-12-01,E5
1st,C,C,C,C,C,C,C,C,2010-01-01,E1
2nd,C,2005-01-22,C,C,2005-05-01,C,C,C,2010-01-01,E2
3rd,2002-08-01,2001-06-22,2002-07-01,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2010-01-01,E3
Other Workers,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2010-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-01-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-01-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-01-01,E5
1st,C,C,C,C,C,C,C,C,2010-02-01,E1
2nd,C,2005-01-22,C,C,2005-05-22,C,C,C,2010-02-01,E2
3rd,2002-09-22,2001-06-22,2002-07-01,2002-09-22,2002-09-22,2002-09-22,2002-09-22,2002-09-22,2010-02-01,E3
Other Workers,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2010-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-02-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-02-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-02-01,E5
1st,C,C,C,C,C,C,C,C,2010-03-01,E1
2nd,C,2005-02-01,C,C,2005-07-08,C,C,C,2010-03-01,E2
3rd,2002-12-15,2001-07-01,2002-07-01,2002-12-15,2002-12-15,2002-12-15,2002-12-15,2002-12-15,2010-03-01,E3
Other Workers,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2010-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-03-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-03-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-03-01,E5
1st,C,C,C,C,C,C,C,C,2010-04-01,E1
2nd,C,2005-02-01,C,C,2005-08-22,C,C,C,2010-04-01,E2
3rd,2003-02-01,2001-09-08,2002-07-01,2003-02-01,2003-02-01,2003-02-01,2003-02-01,2003-02-01,2010-04-01,E3
Other Workers,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2010-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-04-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-04-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-04-01,E5
1st,C,C,C,C,C,C,C,C,2010-05-01,E1
2nd,C,2005-02-01,C,C,2005-09-22,C,C,C,2010-05-01,E2
3rd,2003-04-22,2001-10-01,U,2003-04-22,2003-04-22,2003-04-22,2003-04-22,2003-04-22,2010-05-01,E3
Other Workers,2001-06-01,2001-06-01,U,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2010-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-05-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-05-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-05-01,E5
1st,C,C,C,C,C,C,C,C,2010-06-01,E1
2nd,C,2005-02-01,C,C,2005-11-22,C,C,C,2010-06-01,E2
3rd,2003-06-22,2001-10-22,U,2003-06-22,2003-06-22,2003-06-22,2003-06-22,2003-06-22,2010-06-01,E3
Other Workers,2001-06-01,2001-06-01,U,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2010-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-06-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-06-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-06-01,E5
1st,C,C,C,C,C,C,C,C,2010-07-01,E1
2nd,C,2005-10-01,C,C,2005-11-22,C,C,C,2010-07-01,E2
3rd,2003-08-15,2001-11-22,U,2003-08-15,2003-08-15,2003-08-15,2003-08-15,2003-08-15,2010-07-01,E3
Other Workers,2001-06-01,2001-06-01,U,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2001-06-01,2010-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-07-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-07-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-07-01,E5
1st,C,C,C,C,C,C,C,C,2010-08-01,E1
2nd,C,2006-03-01,C,C,2006-03-01,C,C,C,2010-08-01,E2
3rd,2004-06-01,2002-01-01,U,2004-06-01,2003-09-22,2004-06-01,2004-06-01,2004-06-01,2010-08-01,E3
Other Workers,2002-05-15,2002-01-01,U,2002-05-15,2002-05-15,2002-05-15,2002-05-15,2002-05-15,2010-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-08-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-08-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-08-01,E5
1st,C,C,C,C,C,C,C,C,2010-09-01,E1
2nd,C,2006-05-08,C,C,2006-05-08,C,C,C,2010-09-01,E2
3rd,2004-12-15,2002-01-01,U,2004-12-15,2003-10-22,2004-12-15,2004-12-15,2004-12-15,2010-09-01,E3
Other Workers,2003-03-22,2002-01-01,U,2003-03-22,2003-03-22,2003-03-22,2003-03-22,2003-03-22,2010-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-09-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-09-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-09-01,E5
1st,C,C,C,C,C,C,C,C,2010-10-01,E1
2nd,C,2006-05-08,C,C,2006-05-22,C,C,C,2010-10-01,E2
3rd,2005-01-08,2002-01-15,2001-04-22,2005-01-08,2003-11-08,2005-01-08,2005-01-08,2005-01-08,2010-10-01,E3
Other Workers,2003-03-22,2002-01-15,2001-04-22,2003-03-22,2003-03-22,2003-03-22,2003-03-22,2003-03-22,2010-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-10-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-10-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-10-01,E5
1st,C,C,C,C,C,C,C,C,2010-11-01,E1
2nd,C,2006-05-08,C,C,2006-06-01,C,C,C,2010-11-01,E2
3rd,2005-01-22,2002-01-22,2001-05-01,2005-01-22,2003-11-22,2005-01-22,2005-01-22,2005-01-22,2010-11-01,E3
Other Workers,2003-04-01,2002-01-22,2001-05-01,2003-04-01,2003-04-01,2003-04-01,2003-04-01,2003-04-01,2010-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-11-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-11-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-11-01,E5
1st,C,C,C,C,C,C,C,C,2010-12-01,E1
2nd,C,2006-05-08,C,C,2006-06-08,C,C,C,2010-12-01,E2
3rd,2005-02-22,2002-01-22,2002-07-01,2005-02-22,2003-12-08,2005-02-22,2005-02-22,2005-02-22,2010-12-01,E3
Other Workers,2003-04-22,2002-01-22,2002-07-01,2003-04-22,2003-04-22,2003-04-22,2003-04-22,2003-04-22,2010-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2010-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2010-12-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-12-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-12-01,E5
1st,C,C,C,C,C,C,C,C,2011-01-01,E1
2nd,C,2006-05-08,C,C,2006-06-22,C,C,C,2011-01-01,E2
3rd,2005-03-22,2002-02-01,2003-04-15,2005-03-22,2003-12-15,2005-03-22,2005-03-22,2005-03-22,2011-01-01,E3
Other Workers,2003-04-22,2002-02-01,2003-04-15,2003-04-22,2003-04-22,2003-04-22,2003-04-22,2003-04-22,2011-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2011-01-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2011-01-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2011-01-01,E5
1st,C,C,C,C,C,C,C,C,2011-02-01,E1
2nd,C,2006-05-08,C,C,2006-07-01,C,C,C,2011-02-01,E2
3rd,2005-04-01,2002-02-22,2003-07-08,2005-04-01,2004-01-01,2005-04-01,2005-04-01,2005-04-01,2011-02-01,E3
Other Workers,2003-05-01,2002-02-22,2003-05-01,2003-05-01,2003-04-22,2003-05-01,2003-05-01,2003-05-01,2011-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2011-02-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2011-02-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2011-02-01,E5
1st,C,C,C,C,C,C,C,C,2011-03-01,E1
2nd,C,2006-05-08,C,C,2006-07-08,C,C,C,2011-03-01,E2
3rd,2005-07-01,2002-03-15,2004-01-08,2005-07-01,2004-01-22,2005-07-01,2005-07-01,2005-07-01,2011-03-01,E3
Other Workers,2003-06-15,2002-03-15,2003-05-01,2003-06-15,2003-04-22,2003-06-15,2003-06-15,2003-06-15,2011-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2011-03-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2011-03-01,E5
1st,C,C,C,C,C,C,C,C,2011-04-01,E1
2nd,C,2006-05-08,C,C,2006-07-22,C,C,C,2011-04-01,E2
3rd,2005-07-22,2002-04-08,2004-05-08,2005-07-22,2004-03-01,2005-07-22,2005-07-22,2005-07-22,2011-04-01,E3
Other Workers,2003-07-22,2002-04-08,2003-07-22,2003-07-22,2003-04-22,2003-07-22,2003-07-22,2003-07-22,2011-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2011-04-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2011-04-01,E5
5th Pilot Programs,C,C,C,C,C,C,C,C,2011-04-01,E5
1st,C,C,C,C,C,C,C,C,2011-05-01,E1
2nd,C,2006-07-01,C,C,2006-08-01,C,C,C,2011-05-01,E2
3rd,2005-08-22,2002-04-15,2004-09-08,2005-08-22,2004-04-15,2005-08-22,2005-08-22,2005-08-22,2011-05-01,E3
Other Workers,2003-09-08,2002-04-15,2003-09-08,2003-09-08,2003-04-22,2003-09-08,2003-09-08,2003-09-08,2011-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-05-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-05-01,E5
1st,C,C,C,C,C,C,C,C,2011-06-01,E1
2nd,C,2006-10-15,C,C,2006-10-15,C,C,C,2011-06-01,E2
3rd,2005-09-15,2002-04-22,2004-12-22,2005-09-15,2004-05-15,2005-09-15,2005-09-15,2005-09-15,2011-06-01,E3
Other Workers,2003-11-08,2002-04-22,2003-11-08,2003-11-08,2003-04-22,2003-11-08,2003-11-08,2003-11-08,2011-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-06-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-06-01,E5
1st,C,C,C,C,C,C,C,C,2011-07-01,E1
2nd,C,2007-03-08,C,C,2007-03-08,C,C,C,2011-07-01,E2
3rd,2005-10-08,2002-05-01,2005-07-01,2005-10-08,2004-07-01,2005-10-08,2005-10-08,2005-10-08,2011-07-01,E3
Other Workers,2004-11-22,2002-05-01,2004-11-22,2004-11-22,2003-04-22,2004-11-22,2004-11-22,2004-11-22,2011-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-07-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-07-01,E5
1st,C,C,C,C,C,C,C,C,2011-08-01,E1
2nd,C,2007-04-15,C,C,2007-04-15,C,C,C,2011-08-01,E2
3rd,2005-11-01,2002-06-01,2005-11-01,2005-11-01,2004-07-08,2005-11-01,2005-11-01,2005-11-01,2011-08-01,E3
Other Workers,2005-05-01,2002-06-01,2005-05-01,2005-05-01,2003-04-22,2005-05-01,2005-05-01,2005-05-01,2011-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-08-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-08-01,E5
1st,C,C,C,C,C,C,C,C,2011-09-01,E1
2nd,C,2007-04-15,C,C,2007-04-15,C,C,C,2011-09-01,E2
3rd,2005-11-22,2002-07-08,2005-11-22,2005-11-22,2004-07-15,2005-11-22,2005-11-22,2005-11-22,2011-09-01,E3
Other Workers,2005-08-01,2002-06-01,2005-08-01,2005-08-01,2003-04-22,2005-08-01,2005-08-01,2005-08-01,2011-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-09-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-09-01,E5
1st,C,C,C,C,C,C,C,C,2011-10-01,E1
2nd,C,2007-07-15,C,C,2007-07-15,C,C,C,2011-10-01,E2
3rd,2005-12-08,2002-07-15,2005-12-08,2005-12-08,2004-08-08,2005-12-08,2005-12-08,2005-12-08,2011-10-01,E3
Other Workers,2005-09-15,2002-06-08,2005-09-15,2005-09-15,2003-04-22,2005-09-15,2005-09-15,2005-09-15,2011-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-10-01,E4_R
5th Targeted Employment Areas/Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-10-01,E5
1st,C,C,C,C,C,C,C,C,2011-11-01,E1
2nd,C,2007-11-01,C,C,2007-11-01,C,C,C,2011-11-01,E2
3rd,2005-12-22,2002-07-22,2005-12-22,2005-12-22,2004-08-22,2005-12-22,2005-12-22,2005-12-22,2011-11-01,E3
Other Workers,2005-11-15,2002-06-15,2005-11-15,2005-11-15,2003-04-22,2005-11-15,2005-11-15,2005-11-15,2011-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-11-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-11-01,E5
1st,C,C,C,C,C,C,C,C,2011-12-01,E1
2nd,C,2008-03-15,C,C,2008-03-15,C,C,C,2011-12-01,E2
3rd,2006-01-15,2002-08-01,2006-01-15,2006-01-15,2004-09-08,2006-01-15,2006-01-15,2006-01-15,2011-12-01,E3
Other Workers,2006-01-01,2002-07-22,2006-01-01,2006-01-01,2003-04-22,2006-01-01,2006-01-01,2006-01-01,2011-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2011-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2011-12-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2011-12-01,E5
1st,C,C,C,C,C,C,C,C,2012-01-01,E1
2nd,C,2009-01-01,C,C,2009-01-01,C,C,C,2012-01-01,E2
3rd,2006-02-01,2002-08-08,2006-02-01,2006-02-01,2004-10-15,2006-02-01,2006-02-01,2006-02-01,2012-01-01,E3
Other Workers,2006-02-01,2002-08-01,2006-02-01,2006-02-01,2003-04-22,2006-02-01,2006-02-01,2006-02-01,2012-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-01-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-01-01,E5
1st,C,C,C,C,C,C,C,C,2012-02-01,E1
2nd,C,2010-01-01,C,C,2010-01-01,C,C,C,2012-02-01,E2
3rd,2006-02-22,2002-08-15,2006-02-22,2006-02-22,2004-12-01,2006-02-22,2006-02-22,2006-02-22,2012-02-01,E3
Other Workers,2006-02-22,2002-08-15,2006-02-22,2006-02-22,2003-04-22,2006-02-22,2006-02-22,2006-02-22,2012-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-02-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-02-01,E5
1st,C,C,C,C,C,C,C,C,2012-03-01,E1
2nd,C,2010-05-01,C,C,2010-05-01,C,C,C,2012-03-01,E2
3rd,2006-03-15,2002-08-22,2006-03-15,2006-03-15,2005-01-01,2006-03-15,2006-03-15,2006-03-15,2012-03-01,E3
Other Workers,2006-03-15,2002-08-22,2006-03-15,2006-03-15,2003-04-22,2006-03-15,2006-03-15,2006-03-15,2012-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-03-01,E4_R
5th Targeted Employment Areas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-03-01,E5
1st,C,C,C,C,C,C,C,C,2012-04-01,E1
2nd,C,2010-05-01,C,C,2010-05-01,C,C,C,2012-04-01,E2
3rd,2006-04-08,2002-09-01,2006-04-08,2006-04-08,2005-03-01,2006-04-08,2006-04-08,2006-04-08,2012-04-01,E3
Other Workers,2006-04-08,2002-09-01,2006-04-08,2006-04-08,2003-04-22,2006-04-08,2006-04-08,2006-04-08,2012-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-04-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-04-01,E5
1st,C,C,C,C,C,C,C,C,2012-05-01,E1
2nd,C,2007-08-15,C,C,2007-08-15,C,C,C,2012-05-01,E2
3rd,2006-05-01,2002-09-08,2006-05-01,2006-05-01,2005-04-01,2006-05-01,2006-05-01,2006-05-01,2012-05-01,E3
Other Workers,2006-05-01,2002-09-08,2006-05-01,2006-05-01,2003-04-22,2006-05-01,2006-05-01,2006-05-01,2012-05-01,E3_U
